<oov> 1.0	oov
بیویوں 1.0	B AE V II OON
کھلاڑی 1.0	KH I L AA RR II
بہاول 1.0	B A H AA V A L
کرتے 1.0	K U R TD AY
کرتی 1.0	K U R TD II
زمیندار 1.0	Z A M II N DD AA R
ٹھن 1.0	TH A N
وزیر 1.0	V A Z II R
مرغزار 1.0	M U R A GG Z AA R
داد 1.0	DD AA DD
واہ 1.0	V AA
اعلان 1.0	A L AA N
سہی 1.0	S A H II
تبادلہ 1.0	TD A B AA DD I L AA
کنیزہ 1.0	K A N II Z AA
تبادلے 1.0	TD A B AA DD I L AY
سنٹر 1.0	S I N T A R
زلزے 1.0	Z A L Z AY
خارجہ 1.0	X AA R I DZ AA
کرتا 1.0	K U R TD AA
موہنجو 1.0	M OO H A N DZ UU
ی 1.0	II
زخمی 1.0	Z A X M II
ایف 1.0	II F
ایم 1.0	AE M
این 1.0	AE N
جیتیں 1.0	DZ II TD AYN
ھبہ 1.0	BH A H
وال 1.0	V AA L
قائدانہ 1.0	Q AA I DD AA N AA
مجرمان 1.0	M U DZ R I M AA N
قدروقیمت 1.0	Q A DD R OO Q II M A TD
قرارداد 1.0	Q A R AA R DD AA DD
بادشاہ 1.0	B AA DD SH AA
ہمیشہ 1.0	H A M AY SH AA
شیریں 1.0	SH II R AYN
ہوں 1.0	H UUN
تربیتی 1.0	TD A R B II TD II
آبپارہ 1.0	AA B P AA R AA
آسیہ 1.0	AA S II
ناصیحہ 1.0	N AA S II H AA
جسے 1.0	DZ A S AY
توسیم 1.0	TD O S II M
گنجائش 1.0	G A N DZ AA I SH
توسیع 1.0	TD O S II
گلریز 1.0	G I L R II Z
پرلطف 1.0	P U R L A TD F
گھماتے 1.0	GH U M AA TD AY
ہارنا 1.0	H AA R N AA
شیراں 1.0	SH II R AAN
تحفظ 1.0	TD A H A F F U Z
توسید 1.0	TD O S II DD
حظام 1.0	H A Z AA M
دوڑ 1.0	DD O RR
شہر 1.0	SH AEH H R
چکنائی 1.0	TS I K N AA II
حبسِ 1.0	H A B S AY
پکار 1.0	P A K AA R
دوں 1.0	DD UUN
رنگین 1.0	R A NG G II N
شہد 1.0	SH U H DD
ہوا 1.0	H A V V AA
ہود 1.0	H UU DD
صحافیوں 1.0	S A H AA F II OON
ہوس 1.0	H UU S
نفاست 1.0	N A F AA S A TD
ہوش 1.0	H OO SH
فاکھہ 1.0	F AA KH AA
شخص 1.0	SH A X S
پوش 1.0	P OO SH
پور 1.0	P UU R
کیلی 1.0	K AY L II
تحفہ 1.0	TD A H F AA
تحفے 1.0	TD A H F AY
شلوار 1.0	SH A L V AA R
نارنگ 1.0	N AA R A NG
شیراز 1.0	SH II R AA Z
ہمشیرہ 1.0	H A M SH II R AA
دوا 1.0	DD A V AA
دور 1.0	DD O R
عورتیں 1.0	O R A TD AYN
پہرہ 1.0	P AEH H R AA
اوور 1.0	OO V A R
پاکستانی 1.0	P AA K I S TD AA N II
متوازن 1.0	M U TD A V AA Z A N
کھائے 1.0	KH AA AY
ضابطے 1.0	Z AA B I TD AY
راجن 1.0	R AA DZ A N
رجب 1.0	R A DZ B
فردوس 1.0	F I R DD O S
رامثہ 1.0	R AA M I S AA
بجانا 1.0	B A DZ AA N AA
اشتہارات 1.0	I SH TD I H AA R AA TD
کتابیں 1.0	K I TD AA B AYN
چاندنی 1.0	TS AA N DD N II
مجیب 1.0	M U DZ II B
مجید 1.0	M U DZ II DD
سوہاوہ 1.0	S OO H AA V AA
عبوری 1.0	A B UU R II
تلہاڑ 1.0	TD I L H AA RR
احسانات 1.0	I H S AA N AA TD
دلدار 1.0	DD I L DD AA R
لکھپت 1.0	L I KH A P A TD
کاٹنے 1.0	K AA T N AY
راجہ 1.0	R AA DZ AA
اجتماعی 1.0	I DZ TD I M AA II
اصغر 1.0	A S GG A R
پریشانیاں 1.0	P A R AY SH AA N I J AAN
احتشام 1.0	I H TD I SH AA M
چوتھائی 1.0	TS O TDH AA II
درآمد 1.0	DD A R AA M A DD
مضبوطی 1.0	M A Z B UU TD II
ذکر 1.0	Z I K R
پکوان 1.0	P A K V AA N
صمد 1.0	S A M A DD
دان 1.0	DD AA N
کیجئیے 1.0	K II DZ II AY
متنازعہ 1.0	M U TD A N AA Z A AA
عماد 1.0	A M M AA DD
خنکی 1.0	X U N K II
لطیف 1.0	L A TD II F
خادم 1.0	X AA DD I M
سیکھی 1.0	S II KH II
غیرت 1.0	GG AE R A TD
آزماتے 1.0	AA Z M AA TD AY
حاذر 1.0	H AA Z I R
ثقابت 1.0	S A Q AA B A TD
برجیس 1.0	B A R DZ AE S
رہائش 1.0	R A H AA I SH
چاہئیں 1.0	TS AA H I AYN
خا 1.0	X AA
تیس 1.0	TD II S
کوئی 1.0	K UU II
خو 1.0	X UU
اسمبلی 1.0	A S A M B L II
حامد 1.0	H AA M I DD
شعیب 1.0	SH A II B
عدالتوں 1.0	A DD AA L A TD OON
حمراء 1.0	H U M R AA
حامز 1.0	H AA M Z
پاکستانیوں 1.0	P AA K I S TD AA N II OON
کفائیت 1.0	K A F AA I J A TD
حامص 1.0	H AA M I S
ذاتی 1.0	Z AA TD II
عنصر 1.0	A N S A R
بلے 1.0	B A L AY
کھمبے 1.0	KH A M B AY
حاذق 1.0	H AA Z I Q
ستاتی 1.0	S A TD AA TD II
بلی 1.0	B I L II
چاہئیے 1.0	TS AA H I J AY
بلا 1.0	B U L AA
کہتے 1.0	K A H TD AY
افلاح 1.0	A F L AA
اونچے 1.0	UU N TS AY
محترمہ 1.0	M U H TD A R A M AA
پشین 1.0	P A SH II N
نذرانے 1.0	N A Z R AA N AY
اونچی 1.0	UU N TS II
کھیرا 1.0	KH II R AA
مندی 1.0	M A N DD II
اعتماد 1.0	AY TD AY M AA DD
اثرات 1.0	A S R AA TD
جیلر 1.0	DZ AY L A R
پگاڑا 1.0	P A G AA RR AA
مٹھاس 1.0	M I TH AA S
احسن 1.0	A H S A N
رضوی 1.0	R A Z V II
حنفاء 1.0	H A N F AA
بینکوں 1.0	B AE N K OON
اعتبار 1.0	AY TD I B AA R
تعلیمی 1.0	TD A L II M II
کفیل 1.0	K U F AE L
پہچان 1.0	P AEH H TS AA N
شاخیں 1.0	SH AA X AYN
سمجھ 1.0	S A M A DZH
آفیسروں 1.0	AA F II S A R OON
شہروز 1.0	SH AEH H R UU Z
ہائش 1.0	H AA I SH
داخل 1.0	DD AA X I L
ایڈٹیر 1.0	AE D T II R
جھک 1.0	DZH A K
زہریلی 1.0	Z AEH H R II L II
قہقہہ 1.0	Q A H Q A H AA
قبل 1.0	Q A B L
قرعہ 1.0	Q U R AA
اکثریت 1.0	A K S A R II J A TD
ممالک 1.0	M U M AA L I K
ڈرامے 1.0	D A R AA M AY
ڈرامہ 1.0	D A R AA M AA
بالاتر 1.0	B AA L AA TD A R
دھمکی 1.0	DDH A M K II
ٹرین 1.0	T A R II N
قابیل 1.0	Q AA B II L
درپیش 1.0	DD A R P AY SH
شہروں 1.0	SH AEH H R OON
صابرہ 1.0	S AA B I R AA
فارس 1.0	F AA R I S
حکومتی 1.0	H U K UU M A TD II
اکابر 1.0	A K AA B A R
فارغ 1.0	F AA R I GG
قریبی 1.0	Q A R II B II
حاضر 1.0	H AA Z I R
مانیٹرنگ 1.0	M AA N II T A R I NG
بغل 1.0	B A GG A L
اسماء 1.0	A S M AA
شعبے 1.0	SH OO B AY
شعبہ 1.0	SH OO B AA
گئیں 1.0	G A AYN
تشویش 1.0	TD A SH V II SH
مقصد 1.0	M U Q S A DD
بالٹی 1.0	B AA L T II
دانیہ 1.0	DD AA N I J AA
سمجھتے 1.0	S A M A DZH TD AY
داریاں 1.0	DD AA R II AAN
سرمایہ 1.0	S A R M AA J AA
ڈگریوں 1.0	D I G R II OON
سائنس 1.0	S AA I N S
مطالعہ 1.0	M U TD AA L A AA
منٹ 1.0	M I N T
کمتری 1.0	K A M TD A R II
سردی 1.0	S A R DD II
فری 1.0	F A R II
کرلیا 1.0	K U R L I J AA
زریں 1.0	Z A R IIN
غلط 1.0	GG A L TD
حصین 1.0	H A S II N
ہفتے 1.0	H A F TD AY
فرش 1.0	F A R SH
ضیاء 1.0	Z I J AA
فرض 1.0	F A R Z
فرائض 1.0	F A R AA I Z
فرح 1.0	F A R H
فرخ 1.0	F A R X
گیٹ 1.0	G AE T
منایا 1.0	M A N AA J AA
نجکاری 1.0	N A DZ K AA R II
درختوں 1.0	DD A R A X TD OON
ائیرپورٹ 1.0	AY A R P OO R T
فرق 1.0	F A R Q
دفتری 1.0	DD A F TD A R II
سمجھتا 1.0	S A M A DZH TD AA
عاطرہ 1.0	AA TD I R AA
مغرب 1.0	M U GG R A B
سلیمان 1.0	S A L II M AA N
پرندوں 1.0	P A R I N DD OON
چاہتے 1.0	TS AA H TD AY
دلی 1.0	DD I L L II
چاہتی 1.0	TS AA H TD II
کبریا 1.0	K A B R I J AA
بابر 1.0	B AA B A R
گنے 1.0	G A N AY
جمالی 1.0	DZ A M AA L II
سویرے 1.0	S A V AY R AY
تحمل 1.0	TD A H A M M U L
بنیا 1.0	B A N J AA
حریم 1.0	H A R II M
گنگ 1.0	G A NG
حریف 1.0	H A R II F
بنیر 1.0	B A N II R
سرتاج 1.0	S A R TD AA DZ
ادراک 1.0	I DD R AA K
توفیق 1.0	TD O F II Q
مختص 1.0	M U X TD A S
بیمار 1.0	B II M AA R
تعداد 1.0	TD A DD AA DD
انڈین 1.0	I N D II N
مابین 1.0	M AA B II N
شمال 1.0	SH A M M AA L
کنزہ 1.0	K A N Z AA
آسمانوں 1.0	AA S M AA N OON
عاطفہ 1.0	AA TD I F AA
اندازِگفتگو 1.0	AY N DD AA Z AY G U F TD A G OO
اسامیاں 1.0	A S AA M I J AAN
راشدہ 1.0	R AA SH I DD AA
جلدی 1.0	DZ A L DD II
سویرا 1.0	S O AY R AA
گنج 1.0	G A N DZ
مقامات 1.0	M A Q AA M AA TD
ڈانت 1.0	D AA N TD
شبینہ 1.0	SH A B II N AA
فریدہ 1.0	F A R II DD AA
واقعات 1.0	V AA Q I AA TD
شمار 1.0	SH U M AA R
چاہتا 1.0	TS AA H TD AA
چائے 1.0	TS AA AY
صالحہ 1.0	S AA L I H AA
مقدمے 1.0	M U Q DD A M AY
انخلا 1.0	I N X I L AA
ادو 1.0	A DD UU
اوقات 1.0	O Q AA TD
مقدمہ 1.0	M U Q A DD DD A M AA
کمال 1.0	K A M AA L
الزامات 1.0	I L Z AA M AA TD
کند 1.0	K U N DD
تجارت 1.0	TD I DZ AA R A TD
تمدیح 1.0	TD A M DD II
رہائشی 1.0	R A H AA I SH II
چلتے 1.0	TS A L TD AY
خواں 1.0	X U V AAN
چلتی 1.0	TS A L TD II
تاجر 1.0	TD AA DZ I R
بےجا 1.0	B AY DZ AA
اعضاء 1.0	AA Z AA
حداق 1.0	H A DD DD AA Q
خطیب 1.0	X A TD II B
ادب 1.0	A DD A B
ادا 1.0	A DD AA
سلمان 1.0	S U L M AA N
سہراب 1.0	S AYH H R AA B
پیکھے 1.0	P AY KH AY
کنسرٹ 1.0	K A N S A R T
کمپنی 1.0	K A M P A N II
پندرہ 1.0	P A N DD A R AA
مزے 1.0	M A Z AY
ناہید 1.0	N AA H II DD
صفیان 1.0	S A F J AA N
میانی 1.0	M I J AA N II
ثمرہ 1.0	S A M R AA
مزہ 1.0	M A Z AA
دلائل 1.0	DD A L AA I L
آؤٹ 1.0	AA UU T
نوکر 1.0	N O K A R
باولنگ 1.0	B AA V A L I NG
جملہ 1.0	DZ A M L AA
چلتا 1.0	TS A L TD AA
سرگرم 1.0	S A R G A R A M
مناسب 1.0	M A N AA S I B
خانوں 1.0	X AA N OON
عاصمہ 1.0	AA S I M AA
اسماعیل 1.0	I S M AA II L
صاحبان 1.0	S AA H I B AA N
عابرہ 1.0	AA B I R AA
عنیزہ 1.0	A N AY Z AA
اجرت 1.0	U DZ R A TD
قتل 1.0	Q A TD L
جدوجہد 1.0	DZ I DD V DZ A H DD
بحال 1.0	B A H AA L
حاشر 1.0	H AA SH I R
سلیم 1.0	S A L II M
اڈیالہ 1.0	A D J AA L AA
حاشد 1.0	H AA SH I DD
جائزہ 1.0	DZ AA I Z AA
فرمائے 1.0	F A R M AA AY
تشدد 1.0	TD A SH A DD DD U DD
سال 1.0	S AA L
ساز 1.0	S AA Z
سات 1.0	S AA TD
لوہاراں 1.0	L O H AA R AAN
ابلاغ 1.0	I B L AA GG
زمینیں 1.0	Z A M II N AYN
سرکاری 1.0	S A R K AA R II
عاکفہ 1.0	AA K I F AA
مرجانہ 1.0	M U R DZ AA N AA
حاشم 1.0	H AA SH I M
چاہییے 1.0	TS AA H II J AY
پھل 1.0	PH A L
عہدوں 1.0	OOH H DD OON
سہارا 1.0	S A H AA R AA
تروتازہ 1.0	TD A R OO TD AA Z AA
اڑتی 1.0	U RR TD II
فعال 1.0	F A AA L
ہڈیاں 1.0	H A D D I J AAN
پانچواں 1.0	P AA N TS V AAN
کرامت 1.0	K A R AA M A TD
پڑھاتی 1.0	P A RRH AA TD II
علیحدہ 1.0	A L AE H DD AA
پھٹ 1.0	PH A T
تخلیق 1.0	TD A X L II Q
گھنٹے 1.0	GH A N T AY
بِلامعاوضہ 1.0	B I L AA M U AA V A Z AA
حکام 1.0	H U K K AA M
دلوں 1.0	DD I L OON
عناصر 1.0	A N AA S I R
سرحد 1.0	S A R H A DD
کھرب 1.0	KH A R A B
جسٹس 1.0	DZ A S T A S
ماحول 1.0	M AA H UU L
دفعہ 1.0	DD A F AA
ذکیہ 1.0	Z A K I J J AA
پھر 1.0	PH I R
نکال 1.0	N I K AA L
لئیق 1.0	L A II Q
صوبائی 1.0	S UU B AA II
یورپ 1.0	J UU R I P
لکھتا 1.0	L I KH TD AA
شہریوں 1.0	SH AEH H R II OON
ننکانہ 1.0	N U N K AA N AA
ہرا 1.0	H A R AA
مردہ 1.0	M U R DD AA
پچھتاتے 1.0	P A TSH TD AA TD AY
رکھتی 1.0	R KH TD II
چیخے 1.0	TS II X AY
تہس 1.0	TD A H A S
ہرن 1.0	H A R A N
رکھتے 1.0	R A KH TD AY
لائے 1.0	L AA AY
فراز 1.0	F A R AA Z
فرار 1.0	F A R AA R
طاہرہ 1.0	TD AA H I R AA
نکاح 1.0	N I K AA
اراضی 1.0	A R AA Z II
فراغ 1.0	F A R AA GG
اسلام 1.0	I S L AA M
درباری 1.0	DD A R B AA R II
آراستہ 1.0	AA R AA S TD AA
افضل 1.0	A F Z A L
سانس 1.0	S AA N S
کنارہ 1.0	K I N AA R AA
کنارے 1.0	K I N AA R AY
حلیے 1.0	H A L J AY
وکیل 1.0	V A K II L
عملی 1.0	A M A L II
بچوں 1.0	B A TS TS OON
رکھتا 1.0	R A KH TD AA
عملہ 1.0	A M L AA
سیدن 1.0	S II DD A N
گلنا 1.0	G A L N AA
جنید 1.0	DZ A N II DD
ملزم 1.0	M U L I Z M
عملے 1.0	A M L AY
تہہ 1.0	TD AEH H
دوستوں 1.0	DD OO S TD OON
مدد 1.0	M A DD DD
سانپ 1.0	S AA M P
رملہ 1.0	R A M L AA
کیلئے 1.0	K AY L I AY
ہری 1.0	H A R II
لکھتے 1.0	L I KH TD AY
لائق 1.0	L AA I Q
غنی 1.0	GG A N II
احسان 1.0	A H S AA N
ڈھوک 1.0	DH OO K
تعمیری 1.0	TD A M II R II
صدارتی 1.0	S A DD AA R TD II
لحاف 1.0	L I H H AA F
زبیر 1.0	Z A B II R
فوج 1.0	F O DZ
آسامیاں 1.0	AA S AA M I J AAN
بہادر 1.0	B A H AA DD A R
نارووال 1.0	N AA R V A V AA L
ڈالو 1.0	D AA L OO
اسید 1.0	A S II DD
پامال 1.0	P AA M AA L
سکون 1.0	S U K UU N
پینشن 1.0	P AE N SH A N
حرشف 1.0	H A R SH I F
ڈالا 1.0	D AA L AA
بورژوا 1.0	B O R A ZZ V AA
شبو 1.0	SH A B UU
ڈالر 1.0	D AA L A R
ٹرک 1.0	T A R A K
گزارنے 1.0	G U Z AA R N AY
چور 1.0	TS O R
عتیق 1.0	A TD II Q
دینا 1.0	DD II N AA
لحاظ 1.0	L I H H AA Z
ماہرِارضیات 1.0	M AA H A R AA R A Z J AA TD
یقین 1.0	J A Q II N
ریشم 1.0	R II SH A M
گلا 1.0	G A L L AA
دینی 1.0	DD II N II
دینہ 1.0	DD II N AA
کلانچی 1.0	K A L AA N TS II
گلی 1.0	G A L II
افواہوں 1.0	A F V AA H OON
دینے 1.0	DD II N AY
رمشہ 1.0	R A M SH AA
ارقم 1.0	A R Q A M
مشق 1.0	M A SH A Q
مشن 1.0	M I SH A N
اگرچہ 1.0	A G A R TS AA
ذاکیہ 1.0	Z AA K I J AA
ڈالے 1.0	D AA L AY
سنسر 1.0	S A N S A R
خوشنود 1.0	X U SH N UU DD
میانوالی 1.0	M I J AA N V AA L II
احمد 1.0	A H M A DD
احمر 1.0	A H M A R
آڈیو 1.0	AA D II OO
مبین 1.0	M U B II N
ڈھول 1.0	DH OO L
ساحر 1.0	S AA H I R
چھتوں 1.0	TSH A TD OON
بھاگتے 1.0	BH AA G TD AY
لی 1.0	L II
عمارتوں 1.0	I M AA R A TD OON
آئیں 1.0	AA AYN
لے 1.0	L AY
چھائی 1.0	TSH AA II
چمڑے 1.0	TS A M RR AY
نعش 1.0	N AA SH
پولی 1.0	P OO L II
بیٹا 1.0	B AE T AA
لڑ 1.0	L A RR
لگ 1.0	L A G
جاوید 1.0	DZ AA V AY DD
آئیے 1.0	AA II AY
گائیڈ 1.0	G AA II D
لو 1.0	L OO
آئی 1.0	AA II
آئے 1.0	AA AY
حالانکہ 1.0	H AA L AA N K AY
تنصیف 1.0	TD A N S II F
حارس 1.0	H AA R S
کامیاب 1.0	K AA M J AA B
ولیمہ 1.0	V A L II M AA
عقیلہ 1.0	A Q II L AA
شرمندگی 1.0	SH A R M A N DD A G II
صورت 1.0	S UU R A TD
صلاحیتیں 1.0	S A L AA H I J A TD AYN
بیٹے 1.0	B AE T AY
پولس 1.0	P OO L I S
پروٹوکول 1.0	P A R OO T OO K OO L
شادی 1.0	SH AA DD II
بیٹھ 1.0	B AE TH
آئین 1.0	AA II N
صفر 1.0	S A F R
عبدالملک 1.0	A B DD U L M U L K
ہاؤس 1.0	H AA UU S
لاہوری 1.0	L AA H V A R II
تماشائیوں 1.0	TD A M AA SH AA II OON
سرِشام 1.0	S A R AY SH AA M
کروٹیں 1.0	K A R V A T AYN
حکمرانوں 1.0	H U K M R AA N OON
ڈھونگ 1.0	DH OO NG
رسالے 1.0	R A S AA L AY
ڈھونڈ 1.0	DH UU N D
دولہے 1.0	DD OO L H AY
رائے 1.0	R AA AY
حشمت 1.0	H A SH M A TD
مختار 1.0	M U X TD AA R
شیردل 1.0	SH II R DD I L
مرحلہ 1.0	M U R H A L AA
خانپور 1.0	X AA N P UU R
مرحلے 1.0	M A R H A L AY
دستیاب 1.0	DD A S TD J AA B
پرانا 1.0	P A R AA N AA
اثر 1.0	A S A R
عون 1.0	UU N
ہیجان 1.0	H AE DZ AA N
قدرت 1.0	Q A DD R A TD
میدان 1.0	M AE DD AA N
تانیہ 1.0	TD AA N I J AA
قدرتی 1.0	Q U DD R A TD II
سرمد 1.0	S A R M A DD
خراج 1.0	X A R AA DZ
پرانے 1.0	P A R AA N AY
خراب 1.0	X A R AA B
پرانی 1.0	P A R AA N II
بدمعاشی 1.0	B A DD M AA SH II
انا 1.0	A N AA
حتم 1.0	H A TD M
دولہا 1.0	DD OO L H AA
ایمان 1.0	II M AA N
بھولتے 1.0	BH UU L TD AY
شہناز 1.0	SH A H N AA Z
سہیل 1.0	S A H II L
مفادات 1.0	M U F AA DD AA TD
معاونت 1.0	M U AA V A N A TD
کھبا 1.0	KH A B B AA
شاداب 1.0	SH AA DD AA B
حشمی 1.0	H A SH M II
دھام 1.0	DDH AA M
ریحان 1.0	R AE H AA N
مؤثر 1.0	M UU A S S A R
ساتویں 1.0	S AA TD V AYN
سچائی 1.0	S A TS TS AA II
ہیرو 1.0	H AE R OO
کریمہ 1.0	K A R II M AA
داتا 1.0	DD AA TD AA
لگتا 1.0	L A G TD AA
عینک 1.0	AE N I K
تدبیریں 1.0	TD A DD B II R AYN
مستری 1.0	M I S TD A R II
عینی 1.0	AE N II
مانگا 1.0	M AA NG G AA
مستحکم 1.0	M U S TD A H K A M
خاصا 1.0	X AA S AA
ہیرا 1.0	H AE R AA
نظمی 1.0	N A Z M II
گیں 1.0	G IIN
زمانے 1.0	Z A M AA N AY
پتوکی 1.0	P A TD O K II
مطابقت 1.0	M U TD AA B A Q A TD
زمانہ 1.0	Z A M AA N AA
ذوالقرنین 1.0	Z U L Q A R N AE N
سینٹ 1.0	S AE N T
مخالف 1.0	M U X AA L I F
طریقے 1.0	TD A R II Q AY
برداشت 1.0	B A R DD AA SH TD
تعریف 1.0	TD A R II F
سختی 1.0	S A X TD II
مانگے 1.0	M AA NG G AY
مسترد 1.0	M U S TD A R A DD
متحد 1.0	M U TD A H H I DD
مانگی 1.0	M AA NG G II
عکاسی 1.0	A K K AA S II
لگتی 1.0	L A G TD II
سائنسی 1.0	S AA I N S II
ہوٹل 1.0	H OO T A L
موسمیات 1.0	M OO S M II AA TD
لگتے 1.0	L A G TD AY
طلعت 1.0	TD A L A TD
رنگارنگ 1.0	R A NG G AA R A NG
گیا 1.0	G I J AA
گیت 1.0	G II TD
تسکین 1.0	TD A S K II N
لاتی 1.0	L AA TD II
ناکام 1.0	N AA K AA M
لاتے 1.0	L AA TD AY
پھیری 1.0	PH AY R II
اکبیر 1.0	A K B II R
شریف 1.0	SH A R II F
چیز 1.0	TS II Z
چیت 1.0	TS II TD
چیخ 1.0	TS II X
باؤلر 1.0	B AA UU L A R
غفران 1.0	GG A F R AA N
آفریدی 1.0	AA F R II DD II
ضرغام 1.0	Z A R GG AA M
مہینے 1.0	M A H II N AY
شریر 1.0	SH A R II R
چیف 1.0	TS II F
چین 1.0	TS II N
اکٹھی 1.0	I K A TH II
سمیت 1.0	S A M II TD
افزا 1.0	A F Z AA
خاوند 1.0	X AA V I N DD
سعید 1.0	S A II DD
قص 1.0	Q I S
سمیع 1.0	S A M II
سمیر 1.0	S A M II R
کانپتے 1.0	K AA M P TD AY
کانپتی 1.0	K AA M P TD II
کشی 1.0	K U SH II
نمونی 1.0	N A M UU N II
سلمہ 1.0	S A L L M AA
موتی 1.0	M UU TD II
نویسوں 1.0	N A V II S OON
عمران 1.0	U M R AA N
مچھروں 1.0	M A TSH A R OON
شریک 1.0	SH A R II K
ٹھوکر 1.0	TH OO K A R
ہامون 1.0	H AA M UU N
مدیان 1.0	M U DD DD I J AA N
اشد 1.0	A SH A DD
عاصم 1.0	AA S I M
ابھی 1.0	A BH II
مکان 1.0	M A K K AA N
ٹھیکے 1.0	TH AY K AY
واصفہ 1.0	V AA S I F AA
ثاقل 1.0	S AA Q I L
یافتہ 1.0	J AA F TD AA
اٹھانا 1.0	U TH AA N AA
اطہر 1.0	A TD H A R
طالب 1.0	TD AA L I B
کلمہ 1.0	K A L L M AA
برسوں 1.0	B A R S OON
دیجئیے 1.0	DD II DZ II AY
طالش 1.0	TD AA L I SH
کافی 1.0	K AA F II
نازیبا 1.0	N AA Z II B AA
ماسٹر 1.0	M AA S T A R
ہماری 1.0	H A M AA R II
قومی 1.0	Q O M II
کانگو 1.0	K AA NG G UU
کوئٹہ 1.0	K UU I T AA
ہمدوش 1.0	H A M DD OO SH
وقاص 1.0	V A Q Q AA S
وقار 1.0	V A Q AA R
ٹورنامنٹ 1.0	T UU R N AA M I N T
ہمارے 1.0	H A M AA R AY
رکھیئے 1.0	R A KH J I AY
قیادت 1.0	Q I J AA DD A TD
ہول 1.0	H OO L
جیلوں 1.0	DZ AY L OON
کرسیاں 1.0	K U R S I J AAN
آگاہ 1.0	AA G AA
شہری 1.0	SH AEH H R II
ثاقب 1.0	S AA Q I B
ماورا 1.0	M AA V A R AA
شاخوں 1.0	SH AA X OON
واہگہ 1.0	V AA H G AA
پہنچنے 1.0	P A H U N TS N AY
راہگیر 1.0	R AA H G II R
شہرت 1.0	SH AEH H R A TD
پیداواری 1.0	P AE DD AA V AA R II
حسینہ 1.0	H A S II N AA
ہمارا 1.0	H A M AA R AA
سکردو 1.0	S U K R DD UU
صبور 1.0	S A B UU R
تمہاری 1.0	TD U M H AA R II
نااہل 1.0	N AA A H L
چیلنج 1.0	TS AE L A N DZ
کسان 1.0	K A S AA N
تنخواہوں 1.0	TD A N X AA H OON
ہوچکا 1.0	H OO TS K AA
سہولتیں 1.0	S U H UU L A TD AYN
غفار 1.0	GG A F F AA R
جلسے 1.0	DZ A L S AY
شکریہ 1.0	SH U K R I J AA
خلوص 1.0	X U L UU S
ناامیدی 1.0	N AA U M M II DD II
بورڈنگ 1.0	B O R D I NG
کانسٹیبل 1.0	K AA N S T AY B A L
گھوم 1.0	GH UU M
فہم 1.0	F A H M
چپل 1.0	TS A P P A L
چپو 1.0	TS A P P UU
خریدا 1.0	X A R II DD AA
ج 1.0	DZ
عاملہ 1.0	AA M I L AA
پتھریاٹہ 1.0	P A TDH R I J AA T AA
دھاندلی 1.0	DDH AA N DD L II
جھگڑتا 1.0	DZH A G A RR TD AA
گھوڑوں 1.0	GH OO RR OON
رقیہ 1.0	R A Q II J AA
ہمدردی 1.0	H A M DD A R DD II
اظفر 1.0	A Z F A R
مارگلہ 1.0	M AA R G A L AA
گرتی 1.0	G I R TD II
کہیں 1.0	K A H AYN
نیٹو 1.0	N AY T OO
الٹ 1.0	A L A T
جاپانی 1.0	DZ AA P AA N II
عامرہ 1.0	AA M I R AA
خواجہ 1.0	X AA DZ AA
حیات 1.0	H A J AA TD
تعمیر 1.0	TD A Y M II R
بکر 1.0	B A K A R
سیکھا 1.0	S II KH AA
شکایات 1.0	SH I K AA J AA TD
فارعہ 1.0	F AA R I AA
دھمیال 1.0	DDH A M J AA L
عدولی 1.0	A DD UU L II
بکا 1.0	B A K AA
کنڑول 1.0	K A N RR OO L
میاں 1.0	M U J AAN
شوکت 1.0	SH O K A TD
آجاگر 1.0	AA DZ AA G A R
ڈیم 1.0	D AE M
جانیں 1.0	DZ AA N AYN
الگ 1.0	A L A G
گورنمنٹ 1.0	G A V A R N M A N T
بختیار 1.0	B A X TD J AA R
تناؤ 1.0	TD A N AA OO
الہ 1.0	A L L AA
گلبرگ 1.0	G A L B A R G
بزمی 1.0	B A Z M II
سجاوٹ 1.0	S A DZ AA V A T
خریدے 1.0	X A R II DD AY
یہی 1.0	J AY H II
سائیکل 1.0	S AA II K A L
خاطر 1.0	X AA TD I R
زمانوں 1.0	Z U M AA N OON
تیمور 1.0	TD II M UU R
دئیے 1.0	DD A II AY
تعمیل 1.0	TD A M II L
قدسیہ 1.0	Q A DD S I J AA
صبا 1.0	S A B AA
گرجدار 1.0	G A R DZ DD AA R
صبح 1.0	S U B H
میڈیکل 1.0	M AE D II K A L
گزر 1.0	G U Z A R
صبر 1.0	S A B R
بدلنے 1.0	B A DD A L N AY
اس 1.0	A S
حقیقی 1.0	H A Q II Q II
برصا 1.0	B A R S AA
فیاض 1.0	F A J J AA Z
پھٹے 1.0	PH A T AY
غفور 1.0	GG A F UU R
مانگنے 1.0	M AA NG N AY
میزان 1.0	M II Z AA N
تفتیشی 1.0	TD A F TD II SH II
عزیر 1.0	A Z II R
عزیز 1.0	A Z II Z
لوشن 1.0	L OO SH A N
منان 1.0	M A N AA N
وزن 1.0	V I Z A N
کتنا 1.0	K I TD N AA
حاظر 1.0	H AA Z I R
کتنے 1.0	K I TD N AY
تازہ 1.0	TD AA Z AA
بمشکل 1.0	B A M U SH I L
جاول 1.0	DZ AA V A L
سرگرمیوں 1.0	S A R G A R M II OON
پڑھائی 1.0	P A RRH AA II
