<oov> 1.0	oov
چڑھنا 1.0	TS A R_R_H N A_A
پھالیہ 1.0	P_H A_A L I J A_A
ہونا 1.0	H O_O N A_A
دانش 1.0	D_D A_A N I S_H
فیضی 1.0	F AE Z II
خانیوال 1.0	X A_A N J A_A L
تادین 1.0	T_D A_A D_D II N
رینا 1.0	R II N A_A
آباد 1.0	A_A B A_A D_D
اجلا 1.0	A D_Z L A N
بیاسی 1.0	B II A_A S II
دکھ 1.0	D_D U K_H
خضدار 1.0	X I Z D_D A_A R
مسجدِ 1.0	M A S D_Z A D_D A_Y
ہونے 1.0	H O_O N A_Y
متاثرین 1.0	M U T_D A A S S I R II N
قاسم 1.0	Q A_A S I M
جلال 1.0	D_Z A L L A_A L
میز 1.0	M II Z
ملیں 1.0	M I L A_Y_N
میر 1.0	M II R
ہونی 1.0	H O_O N II
ملتا 1.0	M U L T_D A_A
مین 1.0	M II N
میل 1.0	M II L
دوائیاں 1.0	D_D A V A_A I J A_A_N
صادق 1.0	S A_A D_D I Q
تمدنی 1.0	T_D A M A D_D D_D U N II
تماشہ 1.0	T_D A M A_A S_H A_A
آباو 1.0	A_A B A_A O_O
معدنیات 1.0	M U D_D A N A J J A_A T_D
متاثرہ 1.0	M U T_D A A S S I R A_A
حل 1.0	H U L
اسپن 1.0	I S P A N
ایمن 1.0	II M A N
اندھیرا 1.0	A N D_D_H A_Y R A_A
حو 1.0	H U_U
ہدائیت 1.0	H I D_D A_A I J A T_D
معمولی 1.0	M A_A M U_U L II
بند 1.0	B A N D_D
بنا 1.0	B A N A_A
پٹرول 1.0	P I T R O_O L
طیارہ 1.0	T_D A J J A_A R A_A
اوپر 1.0	U_U P A R
فرزانہ 1.0	F A R Z A_A N A_A
تیاریاں 1.0	T_D A J J A_A R I J A_A_N
طیارے 1.0	T_D A J J A_A R A_Y
تیرنا 1.0	T_D AE R N A_A
قربانیاں 1.0	Q U R B A_A N I J A_A_N
مکران 1.0	M U K A R R A_A N
دکھائیے 1.0	D_D I K_H A_A II A_Y
شگفتہ 1.0	S_H A G U F T_D A_A
وضاحت 1.0	V A Z A_A H A T_D
نغمے 1.0	N A G_G M A_Y
حج 1.0	H I D_Z
حد 1.0	H A D_D
آہنگی 1.0	A_A H A N_G II
پروازوں 1.0	P A R V A_A Z O_O_N
حر 1.0	H A R
جینا 1.0	D_Z II N A_A
غور 1.0	G_G O R
غوث 1.0	G_G O S
عدالت 1.0	A D_D A_A L A T_D
فریب 1.0	F A R II B
فرید 1.0	F A R II D_D
عافیہ 1.0	A_A F I J A_A
لیاری 1.0	L I J A_A R II
زندگیاں 1.0	Z I N D_D A G I J A_A_N
مستجاب 1.0	M U S T_D A D_Z A_A B
بلندیوں 1.0	B A L A N D_D II O_O_N
وجیہہ 1.0	V A D_Z II H A_A
کانفرنس 1.0	K A_A N F A R A N S
آسانی 1.0	A_A S A_A N II
تیار 1.0	T_D A J J A_A R
عشرت 1.0	U S_H R A T_D
بنے 1.0	B A N A_Y
رہو 1.0	R A H U_U
چڑھ 1.0	TS A R_R_H
بنی 1.0	B A N II
گھرانوں 1.0	G_H A R A_A N O_O_N
شوکاز 1.0	S_H O K A_A Z
تھیلا 1.0	T_D_H AE L A_A
خطرے 1.0	X A T_D R A_Y
معشیت 1.0	M A A S_H I J J A T_D
زنیرہ 1.0	Z A N II R A_A
عادت 1.0	A_A D_D A T_D
اعتراض 1.0	A_Y T_D I R A_A Z
وسیع 1.0	V A S II
افشاں 1.0	A F S_H A_A_N
عزیزہ 1.0	A Z II Z A_A
رقم 1.0	R A Q A M
بیچنا 1.0	B A_Y TS N A_A
اشیائے 1.0	A_A S_H J A_A A_Y
رقص 1.0	R A Q S
پاشا 1.0	P A_A S_H A_A
بگڑتی 1.0	B I G A R_R T_D II
بیروز 1.0	B AE R U_U Z
بچائیں 1.0	B A TS A_A A_Y_N
اعتراف 1.0	A T_D I R A_A F
چابی 1.0	TS A_A B II
یاتریوں 1.0	J A_A T_D R II O_O_N
دفاع 1.0	D_D I F A_A
بربادی 1.0	B A R B A_A D_D II
منائی 1.0	M A N A_A II
آمد 1.0	A_A M I D_D
نسیم 1.0	N A S II M
کینٹ 1.0	K AE N T
آمر 1.0	A_A M A R
شائستہ 1.0	S_H A_A I S T_D A_A
جنڈولہ 1.0	D_Z A N D O_O L A_A
استقبال 1.0	I S T_D I Q B A_A L
شاذب 1.0	S_H A_A Z I B
قطرے 1.0	Q A T_D R A_Y
لطف 1.0	L A T_D F
معرکہ 1.0	M A R A K A_A
قافلوں 1.0	Q A_A F I L O_O_N
افسران 1.0	A F S A R A_A N
اہمیت 1.0	A H M II J A T_D
توڑوں 1.0	T_D O_O R_R O_O_N
قوانین 1.0	Q A V A_A N II N
لوگوں 1.0	L O_O G O_O_N
رفاہی 1.0	R I F A_A H II
اژدہام 1.0	A Z_Z D_D A H A_A M
عادی 1.0	A_A D_D II
زرعی 1.0	Z A R II
آمل 1.0	A_A M I L
دستیابی 1.0	D_D A S T_D A_Y J A_A B II
اثاثے 1.0	A S A_A S A_Y
اثاثہ 1.0	A S S A_A S A_A
مسلم 1.0	M U S L A M
چکے 1.0	TS U K K A_Y
عمارات 1.0	A M A_A R A_A T_D
روہڑی 1.0	R O_O H R_R II
شادمان 1.0	S_H A_A D_D M A_A N
چکی 1.0	TS U K K II
پھیل 1.0	P_H AE L
بیشتر 1.0	B A_Y S_H T_D A R
رجحان 1.0	R U D_Z H A_A N
دلچسپ 1.0	D_D I L TS A S P
مختلف 1.0	M U X T_D A L I F
مسلط 1.0	M U S L A T_D
چیٹنگ 1.0	TS AE T I N_G
کیف 1.0	K AE F
اشتہاری 1.0	I S_H T_D I H A_A R II
آرزو 1.0	A_A R Z U_U
مبارک 1.0	M U B A_A R I K
پژمردگی 1.0	P A Z_Z M U R D_D A G II
مانے 1.0	M A_A N A_Y
شناس 1.0	S_H A N A_A S
سلامت 1.0	S A L A_A M A T_D
کوتل 1.0	K O_O T_D A L
امتنان 1.0	I M T_D I N A_A N
شدہ 1.0	S_H U D_D D_D A_A
سطوت 1.0	S U T_D V A T_D
رافع 1.0	R A_A F A_Y
انسانی 1.0	I N S A_A N II
ہمایوں 1.0	H A M M A_A J O_O_N
سطور 1.0	S U T_D U_U R
نظرانداز 1.0	N A Z A R A N D_D A_A Z
برباد 1.0	B A R B A_A D_D
چکا 1.0	TS U K K A_A
ذیشان 1.0	Z II S_H A_A N
پیھلانے 1.0	P_H AE L A_A N A_Y
فتوحات 1.0	F A T_D U_U H A_A T_D
کرکٹر 1.0	K A R I K T A R
بنتے 1.0	B A N T_D A_Y
پاکیزہ 1.0	P A_A K II Z A_A
بنتی 1.0	B A N T_D II
سادہ 1.0	S A_A D_D A_A
مصروف 1.0	M A S R U_U F
اضلاع 1.0	A Z L A_A
پھسل 1.0	P_H I S A L
پھینک 1.0	P_H AE_N K
منچن 1.0	M A N TS A N
مبالغہ 1.0	M U B A_A L A G_G A_A
مذمت 1.0	M U Z A M M A T_D
قناعت 1.0	Q I N A_A A T_D
سازوں 1.0	S A_A Z O_O_N
ولایت 1.0	V I L A_A J A T_D
ڈھاک 1.0	D_H A_A K
تنظیمیں 1.0	T_D A N Z II M A_Y_N
اطلاق 1.0	I T_D L A_A Q
ہمکنار 1.0	H A M K A N A_A R
اقتصادیات 1.0	I Q T_D I S A_A D_D I J A_A T_D
اصلاح 1.0	I S L A_A
گرجا 1.0	G I R D_Z A_A
عبدالمطلب 1.0	A B D_D U L M U T_D L A B
برآمدات 1.0	B A R A_A M D_D A_A T_D
شکایت 1.0	S_H I K A_A J A T_D
پسندیدگی 1.0	P A S A N D_D II D_D A G II
ٹھنڈا 1.0	T_H A N D A_A
ہاشم 1.0	H A_A S_H I M
تمدن 1.0	T_D A M A D_D D_D U N
اطلاع 1.0	I T_D L A_A
ہوجائے 1.0	H U_U D_Z A_A A_Y
مریڑ 1.0	M U R II R_R
گشت 1.0	G A S_H T_D
پذیر 1.0	P A Z II R
تصورات 1.0	T_D A S U_U R U T_D A_A T_D
اخلاق 1.0	I X L A_A Q
قیمتوں 1.0	Q II M A T_D O_O_N
ٹھنڈی 1.0	T_H A N D II
مریم 1.0	M A R II M
مسلسل 1.0	M U S L I S A L
دوسروں 1.0	D_D U_U S R O_O_N
برسی 1.0	B A R S II
ہیلی 1.0	H A_Y L II
ٹھنڈے 1.0	T_H A N D A_Y
صبیحہ 1.0	S A B II H A_A
مربوط 1.0	M A R B U_U T_D
مرید 1.0	M U R II D_D
اعجاز 1.0	A_Y D_Z A_A Z
مریض 1.0	M A R II Z
کپتان 1.0	K A P T_D A_A N
گلشن 1.0	G A L S_H A N
میکلوڈ 1.0	M AE K L U_U D
قریشی 1.0	Q A R AE S_H II
لطیفہ 1.0	L A T_D II F A_A
ہاتھ 1.0	H A_A T_D_H
شاگرد 1.0	S_H A_A G I R D_D
حازم 1.0	H A_A Z I M
ڈھال 1.0	D_H A_A L
ایک 1.0	A_Y K
مجیدہ 1.0	M U D_Z II D_D A_A
شکھر 1.0	S_H I K_H A R
ڈھکوسلے 1.0	D_H A K O_O S L A_Y
متاثرینِ 1.0	M U T_D A_A S A R II N A_Y
تماظر 1.0	T_D A M A_A Z U R
مشینیں 1.0	M A S_H II N A_Y_N
گیمز 1.0	G AE M Z
بیچوں 1.0	B A_Y TS O_O_N
کچہری 1.0	K A TS AE_H H R II
بیویوں 1.0	B AE V II O_O_N
کھلاڑی 1.0	K_H I L A_A R_R II
بہاول 1.0	B A H A_A V A L
کرتے 1.0	K U R T_D A_Y
کرتی 1.0	K U R T_D II
زمیندار 1.0	Z A M II N D_D A_A R
ٹھن 1.0	T_H A N
وزیر 1.0	V A Z II R
مرغزار 1.0	M U R A G_G Z A_A R
داد 1.0	D_D A_A D_D
واہ 1.0	V A_A
اعلان 1.0	A L A_A N
سہی 1.0	S A H II
تبادلہ 1.0	T_D A B A_A D_D I L A_A
کنیزہ 1.0	K A N II Z A_A
تبادلے 1.0	T_D A B A_A D_D I L A_Y
سنٹر 1.0	S I N T A R
زلزے 1.0	Z A L Z A_Y
خارجہ 1.0	X A_A R I D_Z A_A
کرتا 1.0	K U R T_D A_A
موہنجو 1.0	M O_O H A N D_Z U_U
ی 1.0	II
زخمی 1.0	Z A X M II
ایف 1.0	II F
ایم 1.0	AE M
این 1.0	AE N
جیتیں 1.0	D_Z II T_D A_Y_N
ھبہ 1.0	B_H A H
وال 1.0	V A_A L
قائدانہ 1.0	Q A_A I D_D A_A N A_A
مجرمان 1.0	M U D_Z R I M A_A N
قدروقیمت 1.0	Q A D_D R O_O Q II M A T_D
قرارداد 1.0	Q A R A_A R D_D A_A D_D
بادشاہ 1.0	B A_A D_D S_H A_A
ہمیشہ 1.0	H A M A_Y S_H A_A
شیریں 1.0	S_H II R A_Y_N
ہوں 1.0	H U_U_N
تربیتی 1.0	T_D A R B II T_D II
آبپارہ 1.0	A_A B P A_A R A_A
آسیہ 1.0	A_A S II
ناصیحہ 1.0	N A_A S II H A_A
جسے 1.0	D_Z A S A_Y
توسیم 1.0	T_D O S II M
گنجائش 1.0	G A N D_Z A_A I S_H
توسیع 1.0	T_D O S II
گلریز 1.0	G I L R II Z
پرلطف 1.0	P U R L A T_D F
گھماتے 1.0	G_H U M A_A T_D A_Y
ہارنا 1.0	H A_A R N A_A
شیراں 1.0	S_H II R A_A_N
تحفظ 1.0	T_D A H A F F U Z
توسید 1.0	T_D O S II D_D
حظام 1.0	H A Z A_A M
دوڑ 1.0	D_D O R_R
شہر 1.0	S_H AE_H H R
چکنائی 1.0	TS I K N A_A II
حبسِ 1.0	H A B S A_Y
پکار 1.0	P A K A_A R
دوں 1.0	D_D U_U_N
رنگین 1.0	R A N_G G II N
شہد 1.0	S_H U H D_D
ہوا 1.0	H A V V A_A
ہود 1.0	H U_U D_D
صحافیوں 1.0	S A H A_A F II O_O_N
ہوس 1.0	H U_U S
نفاست 1.0	N A F A_A S A T_D
ہوش 1.0	H O_O S_H
فاکھہ 1.0	F A_A K_H A_A
شخص 1.0	S_H A X S
پوش 1.0	P O_O S_H
پور 1.0	P U_U R
کیلی 1.0	K A_Y L II
تحفہ 1.0	T_D A H F A_A
تحفے 1.0	T_D A H F A_Y
شلوار 1.0	S_H A L V A_A R
نارنگ 1.0	N A_A R A N_G
شیراز 1.0	S_H II R A_A Z
ہمشیرہ 1.0	H A M S_H II R A_A
دوا 1.0	D_D A V A_A
دور 1.0	D_D O R
عورتیں 1.0	O R A T_D A_Y_N
پہرہ 1.0	P AE_H H R A_A
اوور 1.0	O_O V A R
پاکستانی 1.0	P A_A K I S T_D A_A N II
متوازن 1.0	M U T_D A V A_A Z A N
کھائے 1.0	K_H A_A A_Y
ضابطے 1.0	Z A_A B I T_D A_Y
راجن 1.0	R A_A D_Z A N
رجب 1.0	R A D_Z B
فردوس 1.0	F I R D_D O S
رامثہ 1.0	R A_A M I S A_A
بجانا 1.0	B A D_Z A_A N A_A
اشتہارات 1.0	I S_H T_D I H A_A R A_A T_D
کتابیں 1.0	K I T_D A_A B A_Y_N
چاندنی 1.0	TS A_A N D_D N II
مجیب 1.0	M U D_Z II B
مجید 1.0	M U D_Z II D_D
سوہاوہ 1.0	S O_O H A_A V A_A
عبوری 1.0	A B U_U R II
تلہاڑ 1.0	T_D I L H A_A R_R
احسانات 1.0	I H S A_A N A_A T_D
دلدار 1.0	D_D I L D_D A_A R
لکھپت 1.0	L I K_H A P A T_D
کاٹنے 1.0	K A_A T N A_Y
راجہ 1.0	R A_A D_Z A_A
اجتماعی 1.0	I D_Z T_D I M A_A II
اصغر 1.0	A S G_G A R
پریشانیاں 1.0	P A R A_Y S_H A_A N I J A_A_N
احتشام 1.0	I H T_D I S_H A_A M
چوتھائی 1.0	TS O T_D_H A_A II
درآمد 1.0	D_D A R A_A M A D_D
مضبوطی 1.0	M A Z B U_U T_D II
ذکر 1.0	Z I K R
پکوان 1.0	P A K V A_A N
صمد 1.0	S A M A D_D
دان 1.0	D_D A_A N
کیجئیے 1.0	K II D_Z II A_Y
متنازعہ 1.0	M U T_D A N A_A Z A A_A
عماد 1.0	A M M A_A D_D
خنکی 1.0	X U N K II
لطیف 1.0	L A T_D II F
خادم 1.0	X A_A D_D I M
سیکھی 1.0	S II K_H II
غیرت 1.0	G_G AE R A T_D
آزماتے 1.0	A_A Z M A_A T_D A_Y
حاذر 1.0	H A_A Z I R
ثقابت 1.0	S A Q A_A B A T_D
برجیس 1.0	B A R D_Z AE S
رہائش 1.0	R A H A_A I S_H
چاہئیں 1.0	TS A_A H I A_Y_N
خا 1.0	X A_A
تیس 1.0	T_D II S
کوئی 1.0	K U_U II
خو 1.0	X U_U
اسمبلی 1.0	A S A M B L II
حامد 1.0	H A_A M I D_D
شعیب 1.0	S_H A II B
عدالتوں 1.0	A D_D A_A L A T_D O_O_N
حمراء 1.0	H U M R A_A
حامز 1.0	H A_A M Z
پاکستانیوں 1.0	P A_A K I S T_D A_A N II O_O_N
کفائیت 1.0	K A F A_A I J A T_D
حامص 1.0	H A_A M I S
ذاتی 1.0	Z A_A T_D II
عنصر 1.0	A N S A R
بلے 1.0	B A L A_Y
کھمبے 1.0	K_H A M B A_Y
حاذق 1.0	H A_A Z I Q
ستاتی 1.0	S A T_D A_A T_D II
بلی 1.0	B I L II
چاہئیے 1.0	TS A_A H I J A_Y
بلا 1.0	B U L A_A
کہتے 1.0	K A H T_D A_Y
افلاح 1.0	A F L A_A
اونچے 1.0	U_U N TS A_Y
محترمہ 1.0	M U H T_D A R A M A_A
پشین 1.0	P A S_H II N
نذرانے 1.0	N A Z R A_A N A_Y
اونچی 1.0	U_U N TS II
کھیرا 1.0	K_H II R A_A
مندی 1.0	M A N D_D II
اعتماد 1.0	A_Y T_D A_Y M A_A D_D
اثرات 1.0	A S R A_A T_D
جیلر 1.0	D_Z A_Y L A R
پگاڑا 1.0	P A G A_A R_R A_A
مٹھاس 1.0	M I T_H A_A S
احسن 1.0	A H S A N
رضوی 1.0	R A Z V II
حنفاء 1.0	H A N F A_A
بینکوں 1.0	B AE N K O_O_N
اعتبار 1.0	A_Y T_D I B A_A R
تعلیمی 1.0	T_D A L II M II
کفیل 1.0	K U F AE L
پہچان 1.0	P AE_H H TS A_A N
شاخیں 1.0	S_H A_A X A_Y_N
سمجھ 1.0	S A M A D_Z_H
آفیسروں 1.0	A_A F II S A R O_O_N
شہروز 1.0	S_H AE_H H R U_U Z
ہائش 1.0	H A_A I S_H
داخل 1.0	D_D A_A X I L
ایڈٹیر 1.0	AE D T II R
جھک 1.0	D_Z_H A K
زہریلی 1.0	Z AE_H H R II L II
قہقہہ 1.0	Q A H Q A H A_A
قبل 1.0	Q A B L
قرعہ 1.0	Q U R A_A
اکثریت 1.0	A K S A R II J A T_D
ممالک 1.0	M U M A_A L I K
ڈرامے 1.0	D A R A_A M A_Y
ڈرامہ 1.0	D A R A_A M A_A
بالاتر 1.0	B A_A L A_A T_D A R
دھمکی 1.0	D_D_H A M K II
ٹرین 1.0	T A R II N
قابیل 1.0	Q A_A B II L
درپیش 1.0	D_D A R P A_Y S_H
شہروں 1.0	S_H AE_H H R O_O_N
صابرہ 1.0	S A_A B I R A_A
فارس 1.0	F A_A R I S
حکومتی 1.0	H U K U_U M A T_D II
اکابر 1.0	A K A_A B A R
فارغ 1.0	F A_A R I G_G
قریبی 1.0	Q A R II B II
حاضر 1.0	H A_A Z I R
مانیٹرنگ 1.0	M A_A N II T A R I N_G
بغل 1.0	B A G_G A L
اسماء 1.0	A S M A_A
شعبے 1.0	S_H O_O B A_Y
شعبہ 1.0	S_H O_O B A_A
گئیں 1.0	G A A_Y_N
تشویش 1.0	T_D A S_H V II S_H
مقصد 1.0	M U Q S A D_D
بالٹی 1.0	B A_A L T II
دانیہ 1.0	D_D A_A N I J A_A
سمجھتے 1.0	S A M A D_Z_H T_D A_Y
داریاں 1.0	D_D A_A R II A_A_N
سرمایہ 1.0	S A R M A_A J A_A
ڈگریوں 1.0	D I G R II O_O_N
سائنس 1.0	S A_A I N S
مطالعہ 1.0	M U T_D A_A L A A_A
منٹ 1.0	M I N T
کمتری 1.0	K A M T_D A R II
سردی 1.0	S A R D_D II
فری 1.0	F A R II
کرلیا 1.0	K U R L I J A_A
زریں 1.0	Z A R II_N
غلط 1.0	G_G A L T_D
حصین 1.0	H A S II N
ہفتے 1.0	H A F T_D A_Y
فرش 1.0	F A R S_H
ضیاء 1.0	Z I J A_A
فرض 1.0	F A R Z
فرائض 1.0	F A R A_A I Z
فرح 1.0	F A R H
فرخ 1.0	F A R X
گیٹ 1.0	G AE T
منایا 1.0	M A N A_A J A_A
نجکاری 1.0	N A D_Z K A_A R II
درختوں 1.0	D_D A R A X T_D O_O_N
ائیرپورٹ 1.0	A_Y A R P O_O R T
فرق 1.0	F A R Q
دفتری 1.0	D_D A F T_D A R II
سمجھتا 1.0	S A M A D_Z_H T_D A_A
عاطرہ 1.0	A_A T_D I R A_A
مغرب 1.0	M U G_G R A B
سلیمان 1.0	S A L II M A_A N
پرندوں 1.0	P A R I N D_D O_O_N
چاہتے 1.0	TS A_A H T_D A_Y
دلی 1.0	D_D I L L II
چاہتی 1.0	TS A_A H T_D II
کبریا 1.0	K A B R I J A_A
بابر 1.0	B A_A B A R
گنے 1.0	G A N A_Y
جمالی 1.0	D_Z A M A_A L II
سویرے 1.0	S A V A_Y R A_Y
تحمل 1.0	T_D A H A M M U L
بنیا 1.0	B A N J A_A
حریم 1.0	H A R II M
گنگ 1.0	G A N_G
حریف 1.0	H A R II F
بنیر 1.0	B A N II R
سرتاج 1.0	S A R T_D A_A D_Z
ادراک 1.0	I D_D R A_A K
توفیق 1.0	T_D O F II Q
مختص 1.0	M U X T_D A S
بیمار 1.0	B II M A_A R
تعداد 1.0	T_D A D_D A_A D_D
انڈین 1.0	I N D II N
مابین 1.0	M A_A B II N
شمال 1.0	S_H A M M A_A L
کنزہ 1.0	K A N Z A_A
آسمانوں 1.0	A_A S M A_A N O_O_N
عاطفہ 1.0	A_A T_D I F A_A
اندازِگفتگو 1.0	A_Y N D_D A_A Z A_Y G U F T_D A G O_O
اسامیاں 1.0	A S A_A M I J A_A_N
راشدہ 1.0	R A_A S_H I D_D A_A
جلدی 1.0	D_Z A L D_D II
سویرا 1.0	S O A_Y R A_A
گنج 1.0	G A N D_Z
مقامات 1.0	M A Q A_A M A_A T_D
ڈانت 1.0	D A_A N T_D
شبینہ 1.0	S_H A B II N A_A
فریدہ 1.0	F A R II D_D A_A
واقعات 1.0	V A_A Q I A_A T_D
شمار 1.0	S_H U M A_A R
چاہتا 1.0	TS A_A H T_D A_A
چائے 1.0	TS A_A A_Y
صالحہ 1.0	S A_A L I H A_A
مقدمے 1.0	M U Q D_D A M A_Y
انخلا 1.0	I N X I L A_A
ادو 1.0	A D_D U_U
اوقات 1.0	O Q A_A T_D
مقدمہ 1.0	M U Q A D_D D_D A M A_A
کمال 1.0	K A M A_A L
الزامات 1.0	I L Z A_A M A_A T_D
کند 1.0	K U N D_D
تجارت 1.0	T_D I D_Z A_A R A T_D
تمدیح 1.0	T_D A M D_D II
رہائشی 1.0	R A H A_A I S_H II
چلتے 1.0	TS A L T_D A_Y
خواں 1.0	X U V A_A_N
چلتی 1.0	TS A L T_D II
تاجر 1.0	T_D A_A D_Z I R
بےجا 1.0	B A_Y D_Z A_A
اعضاء 1.0	A_A Z A_A
حداق 1.0	H A D_D D_D A_A Q
خطیب 1.0	X A T_D II B
ادب 1.0	A D_D A B
ادا 1.0	A D_D A_A
سلمان 1.0	S U L M A_A N
سہراب 1.0	S A_Y_H H R A_A B
پیکھے 1.0	P A_Y K_H A_Y
کنسرٹ 1.0	K A N S A R T
کمپنی 1.0	K A M P A N II
پندرہ 1.0	P A N D_D A R A_A
مزے 1.0	M A Z A_Y
ناہید 1.0	N A_A H II D_D
صفیان 1.0	S A F J A_A N
میانی 1.0	M I J A_A N II
ثمرہ 1.0	S A M R A_A
مزہ 1.0	M A Z A_A
دلائل 1.0	D_D A L A_A I L
آؤٹ 1.0	A_A U_U T
نوکر 1.0	N O K A R
باولنگ 1.0	B A_A V A L I N_G
جملہ 1.0	D_Z A M L A_A
چلتا 1.0	TS A L T_D A_A
سرگرم 1.0	S A R G A R A M
مناسب 1.0	M A N A_A S I B
خانوں 1.0	X A_A N O_O_N
عاصمہ 1.0	A_A S I M A_A
اسماعیل 1.0	I S M A_A II L
صاحبان 1.0	S A_A H I B A_A N
عابرہ 1.0	A_A B I R A_A
عنیزہ 1.0	A N A_Y Z A_A
اجرت 1.0	U D_Z R A T_D
قتل 1.0	Q A T_D L
جدوجہد 1.0	D_Z I D_D V D_Z A H D_D
بحال 1.0	B A H A_A L
حاشر 1.0	H A_A S_H I R
سلیم 1.0	S A L II M
اڈیالہ 1.0	A D J A_A L A_A
حاشد 1.0	H A_A S_H I D_D
جائزہ 1.0	D_Z A_A I Z A_A
فرمائے 1.0	F A R M A_A A_Y
تشدد 1.0	T_D A S_H A D_D D_D U D_D
سال 1.0	S A_A L
ساز 1.0	S A_A Z
سات 1.0	S A_A T_D
لوہاراں 1.0	L O H A_A R A_A_N
ابلاغ 1.0	I B L A_A G_G
زمینیں 1.0	Z A M II N A_Y_N
سرکاری 1.0	S A R K A_A R II
عاکفہ 1.0	A_A K I F A_A
مرجانہ 1.0	M U R D_Z A_A N A_A
حاشم 1.0	H A_A S_H I M
چاہییے 1.0	TS A_A H II J A_Y
پھل 1.0	P_H A L
عہدوں 1.0	O_O_H H D_D O_O_N
سہارا 1.0	S A H A_A R A_A
تروتازہ 1.0	T_D A R O_O T_D A_A Z A_A
اڑتی 1.0	U R_R T_D II
فعال 1.0	F A A_A L
ہڈیاں 1.0	H A D D I J A_A_N
پانچواں 1.0	P A_A N TS V A_A_N
کرامت 1.0	K A R A_A M A T_D
پڑھاتی 1.0	P A R_R_H A_A T_D II
علیحدہ 1.0	A L AE H D_D A_A
پھٹ 1.0	P_H A T
تخلیق 1.0	T_D A X L II Q
گھنٹے 1.0	G_H A N T A_Y
بِلامعاوضہ 1.0	B I L A_A M U A_A V A Z A_A
حکام 1.0	H U K K A_A M
دلوں 1.0	D_D I L O_O_N
عناصر 1.0	A N A_A S I R
سرحد 1.0	S A R H A D_D
کھرب 1.0	K_H A R A B
جسٹس 1.0	D_Z A S T A S
ماحول 1.0	M A_A H U_U L
دفعہ 1.0	D_D A F A_A
ذکیہ 1.0	Z A K I J J A_A
پھر 1.0	P_H I R
نکال 1.0	N I K A_A L
لئیق 1.0	L A II Q
صوبائی 1.0	S U_U B A_A II
یورپ 1.0	J U_U R I P
لکھتا 1.0	L I K_H T_D A_A
شہریوں 1.0	S_H AE_H H R II O_O_N
ننکانہ 1.0	N U N K A_A N A_A
ہرا 1.0	H A R A_A
مردہ 1.0	M U R D_D A_A
پچھتاتے 1.0	P A TS_H T_D A_A T_D A_Y
رکھتی 1.0	R K_H T_D II
چیخے 1.0	TS II X A_Y
تہس 1.0	T_D A H A S
ہرن 1.0	H A R A N
رکھتے 1.0	R A K_H T_D A_Y
لائے 1.0	L A_A A_Y
فراز 1.0	F A R A_A Z
فرار 1.0	F A R A_A R
طاہرہ 1.0	T_D A_A H I R A_A
نکاح 1.0	N I K A_A
اراضی 1.0	A R A_A Z II
فراغ 1.0	F A R A_A G_G
اسلام 1.0	I S L A_A M
درباری 1.0	D_D A R B A_A R II
آراستہ 1.0	A_A R A_A S T_D A_A
افضل 1.0	A F Z A L
سانس 1.0	S A_A N S
کنارہ 1.0	K I N A_A R A_A
کنارے 1.0	K I N A_A R A_Y
حلیے 1.0	H A L J A_Y
وکیل 1.0	V A K II L
عملی 1.0	A M A L II
بچوں 1.0	B A TS TS O_O_N
رکھتا 1.0	R A K_H T_D A_A
عملہ 1.0	A M L A_A
سیدن 1.0	S II D_D A N
گلنا 1.0	G A L N A_A
جنید 1.0	D_Z A N II D_D
ملزم 1.0	M U L I Z M
عملے 1.0	A M L A_Y
تہہ 1.0	T_D AE_H H
دوستوں 1.0	D_D O_O S T_D O_O_N
مدد 1.0	M A D_D D_D
سانپ 1.0	S A_A M P
رملہ 1.0	R A M L A_A
کیلئے 1.0	K A_Y L I A_Y
ہری 1.0	H A R II
لکھتے 1.0	L I K_H T_D A_Y
لائق 1.0	L A_A I Q
غنی 1.0	G_G A N II
احسان 1.0	A H S A_A N
ڈھوک 1.0	D_H O_O K
تعمیری 1.0	T_D A M II R II
صدارتی 1.0	S A D_D A_A R T_D II
لحاف 1.0	L I H H A_A F
زبیر 1.0	Z A B II R
فوج 1.0	F O D_Z
آسامیاں 1.0	A_A S A_A M I J A_A_N
بہادر 1.0	B A H A_A D_D A R
نارووال 1.0	N A_A R V A V A_A L
ڈالو 1.0	D A_A L O_O
اسید 1.0	A S II D_D
پامال 1.0	P A_A M A_A L
سکون 1.0	S U K U_U N
پینشن 1.0	P AE N S_H A N
حرشف 1.0	H A R S_H I F
ڈالا 1.0	D A_A L A_A
بورژوا 1.0	B O R A Z_Z V A_A
شبو 1.0	S_H A B U_U
ڈالر 1.0	D A_A L A R
ٹرک 1.0	T A R A K
گزارنے 1.0	G U Z A_A R N A_Y
چور 1.0	TS O R
عتیق 1.0	A T_D II Q
دینا 1.0	D_D II N A_A
لحاظ 1.0	L I H H A_A Z
ماہرِارضیات 1.0	M A_A H A R A_A R A Z J A_A T_D
یقین 1.0	J A Q II N
ریشم 1.0	R II S_H A M
گلا 1.0	G A L L A_A
دینی 1.0	D_D II N II
دینہ 1.0	D_D II N A_A
کلانچی 1.0	K A L A_A N TS II
گلی 1.0	G A L II
افواہوں 1.0	A F V A_A H O_O_N
دینے 1.0	D_D II N A_Y
رمشہ 1.0	R A M S_H A_A
ارقم 1.0	A R Q A M
